"p_female","p_HDI_low","educ_pre_college","age_mean","STEM","Course.Staff.Gender.Photos","Prerequisites","Weekly.Effort","Watson.Sadness.About","Textio.Score.About","Course.Staff.Race.Photos","Course.Title.Intro","Textio.Tone.Analysis.About","Institution.Ranking","HDI.of.Institution.Location","Geographic.Location","Course.Subject"
0.653074027603513,0.168949004452659,0.23007923456421,35.6330075589831,0,0,0,4,0.524485,27,0,0,1,14,0.914,"US East","Philosophy & Ethics"
0.336874051593323,0.294451450189155,0.138629283489097,32.8827940015785,1,-1,1,1.5,0.541676,28,0,0,0,NA,0.911,"Europe","Engineering"
0.504714016341923,0.166118185720418,0.220562248995984,31.9172281039462,0,-1,1,1.5,0.034267,28,1,0,0,23,0.89,"Asia","Architecture"
0.493297328575562,0.213563743071405,0.23088954056696,34.0305672479456,1,0,0,8,0.193382,42,1,0,0,226,0.914,"US East","Biology & Life Sciences"
0.324706590430334,0.312638580931264,0.203877423389619,32.791730474732,0,0,0,2.5,0.124703,33,1,0,-3,226,0.914,"US East","Social Sciences"
0.450436408977556,0.224019215372298,0.219745222929936,32.4518781234885,0,0,0,4.25,0.176387,20,1,0,-3,226,0.914,"US East","Business & Management"
0.4922982671101,0.197390338700722,0.299003026526616,34.7792903167256,1,-1,0,2.5,0.197546,28,0,0,0,19,0.914,"US East","Biology & Life Sciences"
0.13865171403084,0.387362637362637,0.268334886197258,31.3732394366198,1,-1,1,9,0.184789,27,0,0,0,41,0.914,"US West","Math"
0.441176470588235,0.229508196721311,0.268733850129199,30.3660933660933,0,-1,1,5.5,0.148053,38,1,0,0,22,0.917,"Europe","Energy & Earth Sciences"
0.532135182652862,0.126047858558147,0.272857142857143,30.8876789675337,0,0,0,4,0.113163,20,1,0,0,17,0.719,"Asia","History"
0.753498385360603,0.0579809004092769,0.248283752860412,30.5160932297447,0,-1,0,4.5,NA,NA,1,0,NA,17,0.719,"Asia","Arts & Culture"
0.59505799293999,0.163230845001055,0.327004304276117,32.6762200461746,0,-1,0,3.5,0.116722,33,0,0,0,19,0.914,"US East","Arts & Culture"
0.474740537240537,0.378176345164932,0.295697172194605,29.7808012386297,0,1,1,5.5,0.099521,30,0,0,1,27,0.914,"US West","Language"
0.408163265306122,0.166666666666667,0.166666666666667,36.2553191489362,0,-1,0,3.5,0.090565,28,0,0,-2,52,0.915,"Europe","Design"
0.413328044426815,0.329494382022472,0.251341312422617,29.3251290194521,1,0,1,7,0.119305,29,0,0,1,52,0.915,"Europe","Chemistry"
0.46923753021314,0.264380190710551,0.21881461061337,32.5287343344248,0,-1,0,2.5,0.183627,35,0,0,0,19,0.914,"US East","Law"
0.210053859964093,0.336686787391013,0.203168685927307,31.2163153070578,1,-1,1,5.5,0.092386,31,0,1,0,22,0.917,"Europe","Engineering"
0.482926829268293,0.131578947368421,0.293814432989691,30.186274509804,0,0,0,1.5,0.513796,28,1,0,1,36,0.891,"Asia","History"
0.440779983087101,0.268475950368283,0.281086835301871,32.361781359996,1,0,1,5,0.150874,34,1,1,-2,183,0.914,"US East","Energy & Earth Sciences"
0.399563067724503,0.29772397094431,0.229912301493245,31.7217927035515,1,-1,0,7,0.147445,36,0,1,-2,41,0.914,"US West","Computer Science"
0.528811086797958,0.11574155139205,0.248552754435107,37.3123705516853,0,0,0,3.5,0.115312,34,1,1,1,183,0.914,"US East","Music"
0.570899666790078,0.175686274509804,0.289832489287106,33.3892694063927,0,0,0,4,0.587175,43,0,1,1,226,0.914,"US East","Humanities"
0.365329512893983,0.433628318584071,0.389393939393939,27.7103448275861,1,0,0,4.5,0.188745,31,1,1,1,36,0.891,"Asia","Economics & Finance"
0.496714848883049,0.215604319052595,0.236782647989155,39.5597315436241,0,0,0,5,0.181838,27,0,0,-2,183,0.914,"US East","Humanities"
0.601297245355541,0.325685887398734,0.285690376569038,31.6803136607512,0,-1,0,3,0.51003,38,0,0,2,27,0.914,"US West","Social Sciences"
0.230726194472418,0.315090805440182,0.146253769427047,32.5333259887627,0,0,1,3.5,0.051956,37,0,0,0,NA,0.911,"Europe","Business & Management"
0.177773000859845,0.431224520609995,0.213063063063063,31.1341088674276,1,-1,1,9,0.078844,41,1,1,-1,41,0.914,"US West","Computer Science"
0.274420788979336,0.498030550485157,0.342270490412354,28.8865312264861,1,0,0,8.5,0.258754,35,0,0,0,NA,0.911,"Europe","Computer Science"
0.227276373846771,0.389074321317312,0.294811956769764,30.0800872999375,1,-1,1,6,0.020593,37,0,0,0,22,0.917,"Europe","Math"
0.447231833910035,0.300058719906048,0.29551692589204,30.4887543252596,0,-1,1,5,0.078689,49,0,0,-2,52,0.915,"Europe","Architecture"
0.135860386564083,0.431233486302322,0.339192968437875,30.3603723404256,1,0,1,3,0.370055,26,0,0,0,183,0.914,"US East","Computer Science"
0.263462394303516,0.241344873501997,0.226840719111416,33.2353903693315,1,0,1,4.5,0.053468,32,0,0,0,14,0.914,"US East","Computer Science"
0.147614314115308,0.287366167023555,0.169144028703229,33.6109375000001,1,0,1,5,0.15862,34,0,0,1,52,0.915,"Europe","Data Analysis & Statistics"
0.260093774420422,0.281024294156271,0.103575669613405,36.4442470620388,0,-1,1,6,0.154759,NA,0,0,NA,93,0.914,"US East","Business & Management"
